"country_code","actor1","avg_goldstein","actor2","ratio"
"POL",232,2.038362069,181,"1.28176795580111"
"PRK",210,1.093809524,205,"1.02439024390244"
"PRT",27,1.307407407,21,"1.28571428571429"
"PSE",350,0.099142857,380,"0.921052631578947"
"QAT",154,2.694805195,167,"0.922155688622755"
"RUS",6015,0.551604323,4580,"1.31331877729258"
"RWA",63,0.912698413,51,"1.23529411764706"
"SAF",3,-0.333333333,3,"1"
"SAS",7,-0.414285714,2,"3.5"
"SAU",112,1.266071429,124,"0.903225806451613"
"SDN",207,1.053140097,148,"1.39864864864865"
"SEA",8,2.5,5,"1.6"
"SEN",6,-1.266666667,5,"1.2"
"SGP",15,2.073333333,12,"1.25"
"SLE",1,-9.5,2,"0.5"
"SLV",6,-5.6,1,"6"
"SOM",328,0.633536585,321,"1.02180685358255"
"SRB",105,2.022857143,100,"1.05"
"SUR",6,2.466666667,1,"6"
"SVK",26,2.115384615,25,"1.04"
"SWE",64,1.5671875,94,"0.680851063829787"
"SWZ",3,2.866666667,3,"1"
"SYC",20,2.59,24,"0.833333333333333"
"SYR",623,-1.217817014,618,"1.00809061488673"
"TCD",29,-0.006896552,30,"0.966666666666667"
"TGO",3,5.133333333,1,"3"
"THA",103,-0.123300971,86,"1.19767441860465"
"TJK",203,2.472413793,200,"1.015"
"TKM",127,2.923622047,109,"1.1651376146789"
"TON",1,2.8,0,"0"
"TTO",11,-2.118181818,8,"1.375"
"TUN",78,1.366666667,46,"1.69565217391304"
"TUR",1282,1.576365055,1104,"1.16123188405797"
"TUV",23,4.347826087,36,"0.638888888888889"
"TZA",26,2.430769231,19,"1.36842105263158"
"UGA",67,1.562686567,44,"1.52272727272727"
"UKR",657,1.610958904,529,"1.24196597353497"
"URY",1,1,1,"1"
"USA",25443,0.494953425,17405,"1.46182131571388"
"UZB",60,0.848333333,54,"1.11111111111111"
"VAT",22,2.140909091,18,"1.22222222222222"
"VCT",5,2.44,3,"1.66666666666667"
"VEN",60,0.43,59,"1.01694915254237"
"VNM",45,1.324444444,34,"1.32352941176471"
"VUT",21,1.695238095,13,"1.61538461538462"
"WSM",2,5.2,1,"2"
"WST",865,2.028901734,685,"1.26277372262774"
"YEM",99,-1.136363636,64,"1.546875"
"ZAF",50,1.35,38,"1.31578947368421"
"ZMB",17,0.494117647,9,"1.88888888888889"
"ZWE",58,-0.420689655,57,"1.01754385964912"
"KIR",0,0,3,"0"
"LBR",0,0,5,"0"
"MUS",0,0,3,"0"
"SLB",0,0,2,"0"
"SMR",0,0,1,"0"
"WAF",0,0,1,"0"
