"GLOBALEVENTID","SQLDATE","MonthYear","Year","FractionDate","Actor1Code","Actor1Name","Actor1CountryCode","Actor1KnownGroupCode","Actor1EthnicCode","Actor1Religion1Code","Actor1Religion2Code","Actor1Type1Code","Actor1Type2Code","Actor1Type3Code","Actor2Code","Actor2Name","Actor2CountryCode","Actor2KnownGroupCode","Actor2EthnicCode","Actor2Religion1Code","Actor2Religion2Code","Actor2Type1Code","Actor2Type2Code","Actor2Type3Code","IsRootEvent","EventCode","EventBaseCode","EventRootCode","QuadClass","GoldsteinScale","NumMentions","NumSources","NumArticles","AvgTone","Actor1Geo_Type","Actor1Geo_FullName","Actor1Geo_CountryCode","Actor1Geo_ADM1Code","Actor1Geo_Lat","Actor1Geo_Long","Actor1Geo_FeatureID","Actor2Geo_Type","Actor2Geo_FullName","Actor2Geo_CountryCode","Actor2Geo_ADM1Code","Actor2Geo_Lat","Actor2Geo_Long","Actor2Geo_FeatureID","ActionGeo_Type","ActionGeo_FullName","ActionGeo_CountryCode","ActionGeo_ADM1Code","ActionGeo_Lat","ActionGeo_Long","ActionGeo_FeatureID","DATEADDED","SOURCEURL"
"4659",224665532,20121201,201212,2012,2012.9068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUS","RUSSIA","RUS",NA,NA,NA,NA,NA,NA,NA,1,"054","054","05",1,6,22,3,22,0.697181606272515,NA,NA,NA,NA,0,0,0,4,"Moscow, Moskva, Russia","RS","RS48",55.7522,37.6156,-2960561,4,"South Ossetia, Georgia (general), Georgia","GG","GG00",42.3333,44,-2329959,20130203,""
"4661",224665534,20121201,201212,2012,2012.9068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUS","RUSSIA","RUS",NA,NA,NA,NA,NA,NA,NA,1,"054","054","05",1,6,8,1,8,0.865800865800866,NA,NA,NA,NA,0,0,0,1,"Russia","RS","RS",60,100,0,4,"South Ossetia, Georgia (general), Georgia","GG","GG00",42.3333,44,-2329959,20130203,""
"4976",224665849,20121201,201212,2012,2012.9068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UKR","KYIV","UKR",NA,NA,NA,NA,NA,NA,NA,0,"042","042","04",1,1.9,4,1,4,1.72413793103448,NA,NA,NA,NA,0,0,0,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
"5682",224666555,20121201,201212,2012,2012.9068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA","UNITED STATES","USA",NA,NA,NA,NA,NA,NA,NA,0,"042","042","04",1,1.9,2,1,2,3.29058554528283,NA,NA,NA,NA,0,0,0,2,"Georgia, United States","US","USGA",0,0,0,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
"6983",224667856,20121201,201212,2012,2012.9068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USALEG","UNITED STATES","USA",NA,NA,NA,NA,"LEG",NA,NA,1,"043","043","04",1,2.8,2,1,2,2.1978021978022,NA,NA,NA,NA,0,0,0,2,"Georgia, United States","US","USGA",0,0,0,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
"7126",224667999,20121201,201212,2012,2012.9068,"AFG","AFGHANISTAN","AFG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"040","040","04",1,1,2,1,2,1.96463654223969,1,"Afghanistan","AF","AF",33,65,0,0,NA,NA,NA,0,0,0,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
"8130",224669003,20121201,201212,2012,2012.9068,"ARM","ARMENIAN","ARM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"036","036","03",1,4,1,1,1,2.14424951267056,1,"Georgia","GG","GG",42,43.5,0,0,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
"8132",224669005,20121201,201212,2012,2012.9068,"ARM","ARMENIAN","ARM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"040","040","04",1,1,4,1,4,1.53846153846154,4,"Yerevan, Yerevan*, Armenia","AM","AM11",40.1811,44.5136,-2325645,0,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
"8142",224669015,20121201,201212,2012,2012.9068,"ARM","ARMENIA","ARM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"046","046","04",1,7,8,1,8,1.53846153846154,4,"Yerevan, Yerevan*, Armenia","AM","AM11",40.1811,44.5136,-2325645,0,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
"8157",224669030,20121201,201212,2012,2012.9068,"ARM","ARMENIAN","ARM",NA,NA,NA,NA,NA,NA,NA,"ARMGOV","ARMENIA","ARM",NA,NA,NA,NA,"GOV",NA,NA,1,"036","036","03",1,4,1,1,1,2.14424951267056,1,"Georgia","GG","GG",42,43.5,0,4,"Kuropatkino, Xocav?nd, Azerbaijan","AJ","AJ65",39.8352,47.1592,188876,1,"Georgia","GG","GG",42,43.5,0,20130203,""
"8204",224669077,20121201,201212,2012,2012.9068,"ARM","YEREVAN","ARM",NA,NA,NA,NA,NA,NA,NA,"EUR","EUROPEAN","EUR",NA,NA,NA,NA,NA,NA,NA,1,"043","043","04",1,2.8,4,1,4,2.24719101123596,1,"Georgia","GG","GG",42,43.5,0,1,"Moldova","MD","MD",47,29,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
"8213",224669086,20121201,201212,2012,2012.9068,"ARM","ARMENIAN","ARM",NA,NA,NA,NA,NA,NA,NA,"GEOGOV","MIKHEIL SAAKASHVILI","GEO",NA,NA,NA,NA,"GOV",NA,NA,1,"046","046","04",1,7,2,1,2,1.53846153846154,4,"Yerevan, Yerevan*, Armenia","AM","AM11",40.1811,44.5136,-2325645,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
"8214",224669087,20121201,201212,2012,2012.9068,"ARM","YEREVAN","ARM",NA,NA,NA,NA,NA,NA,NA,"GEOGOVELI","VANO MERABISHVILI","GEO",NA,NA,NA,NA,"GOV","ELI",NA,1,"043","043","04",1,2.8,10,1,10,0,4,"Yerevan, Yerevan*, Armenia","AM","AM11",40.1811,44.5136,-2325645,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
"8218",224669091,20121201,201212,2012,2012.9068,"ARM","YEREVAN","ARM",NA,NA,NA,NA,NA,NA,NA,"GOV","PRESIDENT",NA,NA,NA,NA,NA,"GOV",NA,NA,1,"040","040","04",1,1,9,2,9,1.02564102564103,4,"Yerevan, Yerevan*, Armenia","AM","AM11",40.1811,44.5136,-2325645,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
"8281",224669154,20121201,201212,2012,2012.9068,"ARMGOV","ARMENIA","ARM",NA,NA,NA,NA,"GOV",NA,NA,"ARM","ARMENIAN","ARM",NA,NA,NA,NA,NA,NA,NA,1,"036","036","03",1,4,1,1,1,2.14424951267056,4,"Kuropatkino, Xocav?nd, Azerbaijan","AJ","AJ65",39.8352,47.1592,188876,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
"8303",224669176,20121201,201212,2012,2012.9068,"ARMGOV","ARMENIAN","ARM",NA,NA,NA,NA,"GOV",NA,NA,"GEOGOV","MIKHEIL SAAKASHVILI","GEO",NA,NA,NA,NA,"GOV",NA,NA,1,"046","046","04",1,7,6,1,6,1.53846153846154,4,"Yerevan, Yerevan*, Armenia","AM","AM11",40.1811,44.5136,-2325645,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
"8923",224669796,20121201,201212,2012,2012.9068,"AZE","AZERBAIJAN","AZE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"042","042","04",1,1.9,2,1,2,1.19331742243437,1,"Georgia","GG","GG",42,43.5,0,0,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
"10194",224671067,20121201,201212,2012,2012.9068,"BUS","BUSINESS",NA,NA,NA,NA,NA,"BUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"043","043","04",1,2.8,6,1,6,0.900900900900901,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,0,NA,NA,NA,0,0,0,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
"11219",224672092,20121201,201212,2012,2012.9068,"BUS","BUSINESS",NA,NA,NA,NA,NA,"BUS",NA,NA,"USA","UNITED STATES","USA",NA,NA,NA,NA,NA,NA,NA,1,"042","042","04",1,1.9,1,1,1,0.900900900900901,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
"12291",224673164,20121201,201212,2012,2012.9068,"CHE","DAVOS","CHE",NA,NA,NA,NA,NA,NA,NA,"GOV","PRIME MINISTER",NA,NA,NA,NA,NA,"GOV",NA,NA,1,"036","036","03",1,4,2,1,2,2.1978021978022,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
"12348",224673221,20121201,201212,2012,2012.9068,"CHE","DAVOS","CHE",NA,NA,NA,NA,NA,NA,NA,"USA","UNITED STATES","USA",NA,NA,NA,NA,NA,NA,NA,1,"036","036","03",1,4,4,1,4,2.1978021978022,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,2,"Georgia, United States","US","USGA",0,0,0,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
"15047",224675920,20121201,201212,2012,2012.9068,"COP","POLICE",NA,NA,NA,NA,NA,"COP",NA,NA,"JUD","PROSECUTOR",NA,NA,NA,NA,NA,"JUD",NA,NA,1,"043","043","04",1,2.8,2,1,2,0.366300366300366,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,2,"Georgia, United States","US","USGA",35.5376,-96.9247,0,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
