"GLOBALEVENTID","SQLDATE","MonthYear","Year","FractionDate","Actor1Code","Actor1Name","Actor1CountryCode","Actor1KnownGroupCode","Actor1EthnicCode","Actor1Religion1Code","Actor1Religion2Code","Actor1Type1Code","Actor1Type2Code","Actor1Type3Code","Actor2Code","Actor2Name","Actor2CountryCode","Actor2KnownGroupCode","Actor2EthnicCode","Actor2Religion1Code","Actor2Religion2Code","Actor2Type1Code","Actor2Type2Code","Actor2Type3Code","IsRootEvent","EventCode","EventBaseCode","EventRootCode","QuadClass","GoldsteinScale","NumMentions","NumSources","NumArticles","AvgTone","Actor1Geo_Type","Actor1Geo_FullName","Actor1Geo_CountryCode","Actor1Geo_ADM1Code","Actor1Geo_Lat","Actor1Geo_Long","Actor1Geo_FeatureID","Actor2Geo_Type","Actor2Geo_FullName","Actor2Geo_CountryCode","Actor2Geo_ADM1Code","Actor2Geo_Lat","Actor2Geo_Long","Actor2Geo_FeatureID","ActionGeo_Type","ActionGeo_FullName","ActionGeo_CountryCode","ActionGeo_ADM1Code","ActionGeo_Lat","ActionGeo_Long","ActionGeo_FeatureID","DATEADDED","SOURCEURL"
71783144,20110801,201108,2011,2011.5781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUS","CORPORATION",NA,NA,NA,NA,NA,"BUS",NA,NA,1,"030","030","03",1,4,9,1,9,3.35195530726257,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
71783191,20110801,201108,2011,2011.5781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUS","CHAMBER OF COMMERCE",NA,NA,NA,NA,NA,"BUS",NA,NA,1,"036","036","03",1,4,18,2,18,8.93034825870648,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
71783242,20110801,201108,2011,2011.5781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUS","INDUSTRY",NA,NA,NA,NA,NA,"BUS",NA,NA,1,"040","040","04",1,1,9,1,9,6.66666666666667,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
71784108,20110801,201108,2011,2011.5781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COP","DEPUTY",NA,NA,NA,NA,NA,"COP",NA,NA,1,"114","114","11",3,-2,1,1,1,2.32018561484919,NA,NA,NA,NA,0,0,0,3,"Rockdale County, Georgia, United States","US","USGA",33.6501,-84.0166,357592,1,"Georgia","GG","GG",42,43.5,0,20130203,""
71784808,20110801,201108,2011,2011.5781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EDU","SCHOOL",NA,NA,NA,NA,NA,"EDU",NA,NA,0,"020","020","02",1,3,4,1,4,5.1511758118701,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
71784848,20110801,201108,2011,2011.5781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EDU","UNIVERSITY",NA,NA,NA,NA,NA,"EDU",NA,NA,1,"036","036","03",1,4,2,1,2,5.40540540540541,NA,NA,NA,NA,0,0,0,3,"Georgia Southern, Georgia, United States","US","USGA",32.4135,-81.7832,326131,1,"Georgia","GG","GG",42,43.5,0,20130203,""
71784903,20110801,201108,2011,2011.5781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EDU","SCHOOL",NA,NA,NA,NA,NA,"EDU",NA,NA,1,"040","040","04",1,1,9,1,9,6.39269406392694,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
71785041,20110801,201108,2011,2011.5781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EDU","SCHOOL",NA,NA,NA,NA,NA,"EDU",NA,NA,1,"043","043","04",1,2.8,5,1,5,7.2136563876652,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
71785604,20110801,201108,2011,2011.5781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOV","GOVERNMENT",NA,NA,NA,NA,NA,"GOV",NA,NA,1,"020","020","02",1,3,9,1,9,6.88888888888889,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
71785676,20110801,201108,2011,2011.5781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOV","GOVERNMENT",NA,NA,NA,NA,NA,"GOV",NA,NA,1,"036","036","03",1,4,9,1,9,4.53172205438066,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
71785982,20110801,201108,2011,2011.5781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOV","PRESIDENT",NA,NA,NA,NA,NA,"GOV",NA,NA,1,"051","051","05",1,3.4,5,1,5,7.2136563876652,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
71786222,20110801,201108,2011,2011.5781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOV","AUTHORITIES",NA,NA,NA,NA,NA,"GOV",NA,NA,1,"190","190","19",4,-10,47,7,47,3.26325383965623,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
71786405,20110801,201108,2011,2011.5781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HLH","HOSPITAL",NA,NA,NA,NA,NA,"HLH",NA,NA,1,"042","042","04",1,1.9,9,1,9,7.61904761904762,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
71787369,20110801,201108,2011,2011.5781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAB","STAFF MEMBER",NA,NA,NA,NA,NA,"LAB",NA,NA,1,"046","046","04",1,7,9,1,9,7.75623268698061,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
71787927,20110801,201108,2011,2011.5781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MED","MEDIA",NA,NA,NA,NA,NA,"MED",NA,NA,1,"042","042","04",1,1.9,4,1,4,4.02097902097902,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
71787951,20110801,201108,2011,2011.5781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MED","WRITER",NA,NA,NA,NA,NA,"MED",NA,NA,1,"043","043","04",1,2.8,9,1,9,9.5389507154213,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
71788587,20110801,201108,2011,2011.5781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NGOCHR","YMCA",NA,NA,NA,"CHR",NA,"NGO",NA,NA,1,"043","043","04",1,2.8,9,1,9,6.9701280227596,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
71789171,20110801,201108,2011,2011.5781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUS","RUSSIA","RUS",NA,NA,NA,NA,NA,NA,NA,1,"043","043","04",1,2.8,8,1,8,6.12244897959184,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
71790201,20110801,201108,2011,2011.5781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA","DENVER","USA",NA,NA,NA,NA,NA,NA,NA,1,"040","040","04",1,1,11,2,11,6.2888830434756,NA,NA,NA,NA,0,0,0,1,"Georgia","GG","GG",42,43.5,0,1,"Georgia","GG","GG",42,43.5,0,20130203,""
