"GLOBALEVENTID","SQLDATE","MonthYear","Year","FractionDate","Actor1Code","Actor1Name","Actor1CountryCode","Actor1KnownGroupCode","Actor1EthnicCode","Actor1Religion1Code","Actor1Religion2Code","Actor1Type1Code","Actor1Type2Code","Actor1Type3Code","Actor2Code","Actor2Name","Actor2CountryCode","Actor2KnownGroupCode","Actor2EthnicCode","Actor2Religion1Code","Actor2Religion2Code","Actor2Type1Code","Actor2Type2Code","Actor2Type3Code","IsRootEvent","EventCode","EventBaseCode","EventRootCode","QuadClass","GoldsteinScale","NumMentions","NumSources","NumArticles","AvgTone","Actor1Geo_Type","Actor1Geo_FullName","Actor1Geo_CountryCode","Actor1Geo_ADM1Code","Actor1Geo_Lat","Actor1Geo_Long","Actor1Geo_FeatureID","Actor2Geo_Type","Actor2Geo_FullName","Actor2Geo_CountryCode","Actor2Geo_ADM1Code","Actor2Geo_Lat","Actor2Geo_Long","Actor2Geo_FeatureID","ActionGeo_Type","ActionGeo_FullName","ActionGeo_CountryCode","ActionGeo_ADM1Code","ActionGeo_Lat","ActionGeo_Long","ActionGeo_FeatureID","DATEADDED","SOURCEURL"
206989268,20120605,201206,2012,2012.4247,"RUS","RUSSIA","RUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"1044","104","10",3,-5,3,3,3,9.05921159385015,4,"South Ossetia, Georgia (general), Georgia","GG","GG00",42.3333,44,-2329959,0,NA,NA,NA,0,0,0,4,"South Ossetia, Georgia (general), Georgia","GG","GG00",42.3333,44,-2329959,20130203,""
206989298,20120605,201206,2012,2012.4247,"RUS","RUSSIA","RUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"120","120","12",3,-4,1,1,1,7.48129675810474,0,"Moscow, Moskva, Russia","RS","RS48",55.7522,37.6156,-2960561,0,NA,NA,NA,0,0,0,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
206989307,20120605,201206,2012,2012.4247,"RUS","RUSSIA","RUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"129","129","12",3,-5,2,1,2,10.2127659574468,4,"Batumi, Ajaria**, Georgia","GG","GG04",41.6423,41.6339,-2326229,0,NA,NA,NA,0,0,0,4,"Batumi, Ajaria**, Georgia","GG","GG04",41.6423,41.6339,-2326229,20130203,""
206989308,20120605,201206,2012,2012.4247,"RUS","RUSSIA","RUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"129","129","12",3,-5,4,2,4,10.2903078153505,1,"Russia","RS","RS",60,100,0,0,NA,NA,NA,0,0,0,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
206989324,20120605,201206,2012,2012.4247,"RUS","MOSCOW","RUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"161","161","16",4,-4,9,1,9,10.9375,0,"Moscow, Moskva, Russia","RS","RS48",55.7522,37.6156,-2960561,0,NA,NA,NA,0,0,0,4,"Tbilisi, Georgia (general), Georgia","GG","GG00",41.725,44.7908,-2330077,20130203,""
206989738,20120605,201206,2012,2012.4247,"RUS","RUSSIAN","RUS",NA,NA,NA,NA,NA,NA,NA,"CHN","CHINESE","CHN",NA,NA,NA,NA,NA,NA,NA,0,"190","190","19",4,-10,4,1,4,6.30699088145897,0,"Moscow, Moskva, Russia","RS","RS48",55.7522,37.6156,-2960561,4,"Beijing, Beijing, China","CH","CH22",39.9289,116.388,-1898541,1,"Georgia","GG","GG",42,43.5,0,20130203,""
206990222,20120605,201206,2012,2012.4247,"RUS","VLADIMIR","RUS",NA,NA,NA,NA,NA,NA,NA,"MEX","MEXICO","MEX",NA,NA,NA,NA,NA,NA,NA,0,"012","012","01",1,-0.4,2,1,2,5.80595874713522,4,"Leon, Guanajuato, Mexico","MX","MX11",21.1167,-101.667,-1679595,4,"Leon, Guanajuato, Mexico","MX","MX11",21.1167,-101.667,-1679595,4,"Gori, Georgia (general), Georgia","GG","GG00",42.5167,43.1667,-2327319,20130203,""
206990223,20120605,201206,2012,2012.4247,"RUS","VLADIMIR","RUS",NA,NA,NA,NA,NA,NA,NA,"MEX","MEXICO","MEX",NA,NA,NA,NA,NA,NA,NA,0,"040","040","04",1,1,2,1,2,5.80595874713522,4,"Leon, Guanajuato, Mexico","MX","MX11",21.1167,-101.667,-1679595,4,"Leon, Guanajuato, Mexico","MX","MX11",21.1167,-101.667,-1679595,4,"Gori, Georgia (general), Georgia","GG","GG00",42.5167,43.1667,-2327319,20130203,""
206990233,20120605,201206,2012,2012.4247,"RUS","RUSSIAN","RUS",NA,NA,NA,NA,NA,NA,NA,"MIL","MILITARY",NA,NA,NA,NA,NA,"MIL",NA,NA,0,"1044","104","10",3,-5,4,2,4,5.87055715658021,4,"South Ossetia, Georgia (general), Georgia","GG","GG00",42.3333,44,-2329959,4,"South Ossetia, Georgia (general), Georgia","GG","GG00",42.3333,44,-2329959,4,"South Ossetia, Georgia (general), Georgia","GG","GG00",42.3333,44,-2329959,20130203,""
206990235,20120605,201206,2012,2012.4247,"RUS","RUSSIAN","RUS",NA,NA,NA,NA,NA,NA,NA,"MIL","MILITARY",NA,NA,NA,NA,NA,"MIL",NA,NA,0,"1044","104","10",3,-5,5,1,5,5.83333333333333,0,"Moscow, Moskva, Russia","RS","RS48",55.7522,37.6156,-2960561,4,"Moscow, Moskva, Russia","RS","RS48",55.7522,37.6156,-2960561,5,"Abkhazia, Abkhazia**, Georgia","GG","GG02",42.7908,41.1599,10007258,20130203,""
206990237,20120605,201206,2012,2012.4247,"RUS","RUSSIAN","RUS",NA,NA,NA,NA,NA,NA,NA,"MIL","MILITARY",NA,NA,NA,NA,NA,"MIL",NA,NA,0,"1044","104","10",3,-5,5,1,5,5.90778097982709,0,"Moscow, Moskva, Russia","RS","RS48",55.7522,37.6156,-2960561,5,"Abkhazia, Abkhazia**, Georgia","GG","GG02",42.7908,41.1599,10007258,5,"Abkhazia, Abkhazia**, Georgia","GG","GG02",42.7908,41.1599,10007258,20130203,""
