"GLOBALEVENTID" "SQLDATE" "MonthYear" "Year" "FractionDate" "Actor1Code" "Actor1Name" "Actor1CountryCode" "Actor1KnownGroupCode" "Actor1EthnicCode" "Actor1Religion1Code" "Actor1Religion2Code" "Actor1Type1Code" "Actor1Type2Code" "Actor1Type3Code" "Actor2Code" "Actor2Name" "Actor2CountryCode" "Actor2KnownGroupCode" "Actor2EthnicCode" "Actor2Religion1Code" "Actor2Religion2Code" "Actor2Type1Code" "Actor2Type2Code" "Actor2Type3Code" "IsRootEvent" "EventCode" "EventBaseCode" "EventRootCode" "QuadClass" "GoldsteinScale" "NumMentions" "NumSources" "NumArticles" "AvgTone" "Actor1Geo_Type" "Actor1Geo_FullName" "Actor1Geo_CountryCode" "Actor1Geo_ADM1Code" "Actor1Geo_Lat" "Actor1Geo_Long" "Actor1Geo_FeatureID" "Actor2Geo_Type" "Actor2Geo_FullName" "Actor2Geo_CountryCode" "Actor2Geo_ADM1Code" "Actor2Geo_Lat" "Actor2Geo_Long" "Actor2Geo_FeatureID" "ActionGeo_Type" "ActionGeo_FullName" "ActionGeo_CountryCode" "ActionGeo_ADM1Code" "ActionGeo_Lat" "ActionGeo_Long" "ActionGeo_FeatureID" "DATEADDED" "SOURCEURL"
"20363" 227130038 20130101 201301 2013 2013.0027 "GOV" "PRESIDENT" NA NA NA NA NA "GOV" NA NA "CVL" "VILLAGE" NA NA NA NA NA "CVL" NA NA 1 "190" "190" "19" 4 -10 7 1 7 0.809716599190283 0 "Gardabani, Georgia (general), Georgia" "GG" "GG00" 41.4605 45.0928 -2327197 4 "Gardabani, Georgia (general), Georgia" "GG" "GG00" 41.4605 45.0928 -2327197 4 "Gardabani, Georgia (general), Georgia" "GG" "GG00" 41.4605 45.0928 -2327197 20130203 ""
"21049" 227130724 20130101 201301 2013 2013.0027 "GOV" "ADMINISTRATION" NA NA NA NA NA "GOV" NA NA "MIL" "SERVICEMEN" NA NA NA NA NA "MIL" NA NA 1 "051" "051" "05" 1 3.4 10 1 10 3.55329949238579 1 "Georgia" "GG" "GG" 42 43.5 0 1 "Georgia" "GG" "GG" 42 43.5 0 1 "Georgia" "GG" "GG" 42 43.5 0 20130203 ""
"21374" 227131049 20130101 201301 2013 2013.0027 "GOV" "PRESIDENT" NA NA NA NA NA "GOV" NA NA "RUS" "RUSSIA" "RUS" NA NA NA NA NA NA NA 1 "051" "051" "05" 1 3.4 2 1 2 4.53563714902808 4 "Caucasus, Georgia (general), Georgia" "GG" "GG00" 42.5 45 -2891161 4 "Moscow, Moskva, Russia" "RS" "RS48" 55.7522 37.6156 -2960561 4 "Caucasus, Georgia (general), Georgia" "GG" "GG00" 42.5 45 -2891161 20130203 ""
"21375" 227131050 20130101 201301 2013 2013.0027 "GOV" "PRESIDENT" NA NA NA NA NA "GOV" NA NA "RUS" "RUSSIA" "RUS" NA NA NA NA NA NA NA 1 "051" "051" "05" 1 3.4 2 1 2 4.53563714902808 5 "Abkhazia, Abkhazia**, Georgia" "GG" "GG02" 42.7908 41.1599 10007258 4 "South Ossetia, Georgia (general), Georgia" "GG" "GG00" 42.3333 44 -2329959 5 "Abkhazia, Abkhazia**, Georgia" "GG" "GG02" 42.7908 41.1599 10007258 20130203 ""
"26715" 227136390 20130101 201301 2013 2013.0027 "JUD" "ATTORNEY" NA NA NA NA NA "JUD" NA NA NA NA NA NA NA NA NA NA NA NA 0 "020" "020" "02" 1 3 10 1 10 2.26997578692494 0 "Layla, Georgia (general), Georgia" "GG" "GG00" 42.994 42.4185 -2328499 0 NA NA NA 0 0 0 4 "Layla, Georgia (general), Georgia" "GG" "GG00" 42.994 42.4185 -2328499 20130203 ""
"37409" 227147084 20130101 201301 2013 2013.0027 "SPY" "OPERATIVE" NA NA NA NA NA "SPY" NA NA "CRM" "CRIMINAL" NA NA NA NA NA "CRM" NA NA 1 "173" "173" "17" 4 -5 8 1 8 0.809716599190283 0 "Gardabani, Georgia (general), Georgia" "GG" "GG00" 41.4605 45.0928 -2327197 4 "Gardabani, Georgia (general), Georgia" "GG" "GG00" 41.4605 45.0928 -2327197 4 "Gardabani, Georgia (general), Georgia" "GG" "GG00" 41.4605 45.0928 -2327197 20130203 ""
"38640" 227148315 20130101 201301 2013 2013.0027 "TWN" "TAIWAN" NA NA NA NA NA NA NA NA "DEU" "GERMAN" "DEU" NA NA NA NA NA NA NA 1 "036" "036" "03" 1 4 1 1 1 6.2111801242236 2 "Georgia, United States" "US" "USGA" 0 0 0 4 "Rustavi, Georgia (general), Georgia" "GG" "GG00" 41.6231 43.1311 -2329505 4 "Rustavi, Georgia (general), Georgia" "GG" "GG00" 41.6231 43.1311 -2329505 20130203 ""
"39254" 227148929 20130101 201301 2013 2013.0027 "UKR" "KYIV" "UKR" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 "040" "040" "04" 1 1 10 1 10 3.55329949238579 1 "Georgia" "GG" "GG" 42 43.5 0 0 NA NA NA 0 0 0 1 "Georgia" "GG" "GG" 42 43.5 0 20130203 ""
"39266" 227148941 20130101 201301 2013 2013.0027 "UKR" "KYIV" "UKR" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 "043" "043" "04" 1 2.8 10 1 10 3.55329949238579 1 "Georgia" "GG" "GG" 42 43.5 0 0 NA NA NA 0 0 0 1 "Georgia" "GG" "GG" 42 43.5 0 20130203 ""
"40305" 227149980 20130101 201301 2013 2013.0027 "USA" "UNITED STATES" "USA" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 "040" "040" "04" 1 1 6 1 6 1.73913043478261 2 "Georgia, United States" "US" "USGA" 0 0 0 0 NA NA NA 0 0 0 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 20130203 ""
"40776" 227150451 20130101 201301 2013 2013.0027 "USA" "UNITED STATES" "USA" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 "046" "046" "04" 1 7 6 1 6 1.73913043478261 4 "Adzharistskali, Ajaria**, Georgia" "GG" "GG04" 41.5436 41.7231 -2330988 0 NA NA NA 0 0 0 4 "Adzharistskali, Ajaria**, Georgia" "GG" "GG04" 41.5436 41.7231 -2330988 20130203 ""
